ID,Name,Searched Name,Pleiades #
urn:cite:rage:ptolgeo.pt-ll-616,Kaskonton,Cascantum,246301
urn:cite:rage:ptolgeo.pt-ll-614,Grakouris,Gracurris,246435
urn:cite:rage:ptolgeo.pt-ll-611,Nemantourista,Nemantourista,252221
urn:cite:rage:ptolgeo.pt-ll-609,Bitouris,Beturri,246244
urn:cite:rage:ptolgeo.pt-ll-610,Andēlos,Andelos,246163
urn:cite:rage:ptolgeo.pt-ll-605,Segontia Paramika,Segontia Paramika,236657
urn:cite:rage:ptolgeo.pt-ll-615,Kalagorina,Calagorris,246279
urn:cite:rage:ptolgeo.pt-ll-608,Pompailon,Pompelo,246567
urn:cite:rage:ptolgeo.pt-ll-613,Iakka,Iacca,246422
urn:cite:rage:ptolgeo.pt-ll-606,Trition Touborikon,Trition Touborikon,252245
urn:cite:rage:ptolgeo.pt-ll-604,Alba,Albanus,422825
urn:cite:rage:ptolgeo.pt-ll-603,Toullonion,Toulon,138622
URN,Iabel,Isabel,285540
urn:cite:rage:ptolgeo.pt-ll-612,Kournonion,X,X
urn:cite:rage:ptolgeo.pt-ll-607,Thabouka,X,X
